time_s,T_ring_bulk_C,T_steel_bulk_C,T_surface_peak_C,mu_effective,Q_fric_W,wear_rate_m_per_s,wear_depth_m,tau_fric_Nm,phi_rel_dot_rad_per_s
29.0,106.78765721129665,106.54475861692669,278.63604501441705,0.2847706194216438,102.68559756014963,3.515696517708874e-11,8.571057814204495e-10,53.82164707069067,1.9078865688610356
29.5,106.66502393994442,106.55509161201836,163.05207688648278,0.2550604420966941,19.62223214338231,3.819077944123206e-12,8.590153203925111e-10,48.20642355627518,0.40704600540373465
30.0,106.70791421390359,106.57795559625491,317.4862740955783,0.3492816247595472,104.49461313984192,3.978421918887719e-11,8.789074299869497e-10,66.01422707955442,1.582910499185492
30.5,106.82356095069716,106.61047406846706,244.26457879680885,0.22775403532338362,152.38873710833582,5.015719235804983e-11,9.039860261659746e-10,43.0455126761195,3.540177073855064
31.0,106.83048951262955,106.63566190334811,276.40167085109624,0.28099705189633556,101.9750630560892,3.4772434460503773e-11,9.213722433962265e-10,53.108442808407425,1.9201290353018194
31.5,106.69642539822156,106.64510988439629,169.4475315107165,0.2571514691650951,21.836870470262504,4.276982683459314e-12,9.235107347379562e-10,48.60162767220298,0.44930327472863213
32.0,106.7211518565118,106.66595524911878,315.11707518601827,0.3453336800545263,102.25627256604669,3.8620746072846865e-11,9.428211077743796e-10,65.26806553030546,1.5667121698063313
32.5,106.81476886109746,106.69536280932049,246.39423400032658,0.23129766449585662,146.71451543279113,4.831705385828401e-11,9.669796347035215e-10,43.715258589716896,3.356139713360924
33.0,106.79012544496182,106.7155782925026,277.2767685478264,0.28251406708069154,89.21767561780347,3.046561464916454e-11,9.822124420281037e-10,53.3951586782507,1.6708944748233185
33.5,106.63418443650951,106.71994108811187,141.9403224216233,0.26001167614831017,12.286246565980912,2.2395562619904637e-12,9.83332220159099e-10,49.14220679203061,0.25001413994239613
34.0,106.63603277449344,106.73486824107736,333.78561970864246,0.3764104476017293,90.72512581898697,3.669556690810233e-11,1.0016800036131501e-09,71.14157459672684,1.2752757629174143
34.5,106.70148860308478,106.75703478804841,240.97378844105407,0.2225031406162129,130.65205644552475,4.294504196130446e-11,1.0231525245938023e-09,42.053093576464235,3.1068357957533594
35.0,106.66456823579433,106.77082837293023,281.63737129099786,0.2899480998626326,80.45001551629841,2.769372959813908e-11,1.0369993893928718e-09,54.80019087403756,1.468060863167775
35.5,106.49782848219796,106.76871308220119,118.1637183822975,0.25764855595061986,4.059634043934289,8.524223855618605e-13,1.0374256005856526e-09,40.591499279338294,0.10001192653656688
36.0,106.49395901339132,106.7775735410134,346.7461693684601,0.3981228548888934,85.27849775604125,3.640615682293764e-11,1.0556286789971214e-09,75.24521957400084,1.1333410712181264
36.5,106.57190220111818,106.79575744441537,234.43850440376835,0.21188823461239611,136.11173897350955,4.474537153183463e-11,1.0780013647630388e-09,40.046876341742866,3.398810379416121
37.0,106.56552168953097,106.80841107295345,282.8177201171961,0.2920681908181468,98.50125335690691,3.3973951590246694e-11,1.094988340558162e-09,55.200888064629744,1.7844142877118332
37.5,106.40888254980122,106.80447704491687,146.68780834098496,0.2546489360365536,14.016735953730974,2.6356275067395994e-12,1.0963061543115318e-09,48.12864891090863,0.2912347691221808
38.0,106.41797445656135,106.81246883136305,328.68759763131123,0.36832384102785004,98.52746233361974,3.902489351595118e-11,1.1158186010695075e-09,69.61320595426366,1.41535590816422
38.5,106.48469238407793,106.8278344522316,240.97384565779333,0.22286248927237767,137.13560325207146,4.500350686351967e-11,1.1383203545012673e-09,42.12101047247938,3.2557529298038044
39.0,106.45159925212843,106.83560849778002,279.510456391731,0.2867764927798264,89.88956347647743,3.0769783444456336e-11,1.1537052462234954e-09,54.2007571353872,1.658455863484411
39.5,106.29277271188276,106.82850438811874,156.6133383703099,0.25769460491775936,17.511144302436644,3.3252746474503764e-12,1.1553678835472205e-09,48.704280329456516,0.359540150967919
40.0,106.29608081632772,106.8330162760223,324.02617335744367,0.3608013674862043,100.25273586960726,3.899622576062916e-11,1.174865996427535e-09,68.1914584548926,1.4701655917202976
40.5,106.3578292490265,106.84491736226168,243.67055964755548,0.22754144970428547,139.27077618626765,4.5678244885669344e-11,1.1977051188703697e-09,43.005333994109954,3.238453541724436
41.0,106.31278265844374,106.84841315531143,279.6172337058642,0.28718346738197165,87.96189963801406,3.0092325788350965e-11,1.212751281764545e-09,54.27767533519264,1.6205907694978454
41.5,106.11865649381065,106.83410407927015,109.83651852645919,0.26029108228988673,1.2937855069472188,2.4287951030941045e-13,1.2128727215196998e-09,44.64352256126147,0.028980363392513198
42.0,106.0954082579219,106.83104042291478,353.3633540393276,0.40974865684488965,86.10071879743361,3.78141042612448e-11,1.2317797736503223e-09,77.44249614368414,1.1118019573863593
42.5,106.14750409840777,106.83632501065384,232.47369822037837,0.20933561850173588,132.87214197000702,4.357231161937764e-11,1.253565929460011e-09,39.564431896828076,3.358373559274069
43.0,106.10157556980553,106.83402339297403,284.4966170708045,0.29561910425479626,86.30305451843894,2.9798887423937864e-11,1.26846537317198e-09,55.872010704156494,1.544656321309349
43.5,105.91982672174512,106.8156109251768,128.44458078359492,0.25479954556739937,7.838429747219907,1.4170249111559831e-12,1.2691738856275578e-09,48.15711411223848,0.1627678462822978
44.0,105.9053778149303,106.8088308278891,339.6171796214966,0.3872847189166113,92.32523189201085,3.812605429886617e-11,1.2882369127769909e-09,73.19681187523953,1.2613285951494007
44.5,105.96045007596219,106.81034623871639,236.45646067948576,0.2162454373106666,137.0314473433085,4.4808069364331586e-11,1.3106409474591566e-09,40.87038765171599,3.352829645538121
45.0,105.92873943050395,106.80583049755805,281.22293182020684,0.290480675355664,97.67384116105268,3.345252677852334e-11,1.3273672108484182e-09,54.900847642220505,1.7790953210335931
45.5,105.74036585078969,106.78367500995536,131.09774618725794,0.2560518223985887,8.824160467864349,1.925715244139031e-12,1.3283300684704876e-09,40.11418258900668,0.219976075750391
