time,h,v
0.904,0.407478950999996,-1.3135590000000128
0.908,0.4021658549999959,-1.3527990000000132
0.912,0.39669579899999585,-1.3920390000000136
0.916,0.3910687829999958,-1.431279000000014
0.92,0.3852848069999958,-1.4705190000000143
0.924,0.3793438709999958,-1.5097590000000147
0.928,0.3732459749999958,-1.5489990000000151
0.932,0.3669911189999958,-1.5882390000000155
0.936,0.36057930299999585,-1.6274790000000159
0.9400000000000001,0.3540105269999957,-1.6667190000000163
0.9440000000000001,0.34728479099999554,-1.7059590000000167
0.9480000000000001,0.3404020949999954,-1.745199000000017
0.9520000000000001,0.3333624389999953,-1.7844390000000174
0.9560000000000001,0.3261658229999952,-1.8236790000000178
0.96,0.3188122469999951,-1.8629190000000182
0.964,0.31130171099999504,-1.9021590000000186
0.968,0.303634214999995,-1.941399000000019
0.972,0.29580975899999495,-1.9806390000000194
0.976,0.28782834299999493,-2.019879000000019
0.98,0.27968996699999493,-2.0591190000000186
0.984,0.27139463099999495,-2.098359000000018
0.988,0.262942334999995,-2.1375990000000176
0.992,0.25433307899999485,-2.176839000000017
0.996,0.24556686299999478,-2.2160790000000166
1.0,0.23664368699999475,-2.255319000000016
1.004,0.22756355099999473,-2.2945590000000156
1.008,0.21832645499999465,-2.333799000000015
1.012,0.20893239899999455,-2.3730390000000146
1.016,0.19938138299999447,-2.412279000000014
1.02,0.1896734069999944,-2.4515190000000135
1.024,0.17980847099999436,-2.490759000000013
1.028,0.16978657499999433,-2.5299990000000125
1.032,0.15960771899999432,-2.569239000000012
1.036,0.14927190299999432,-2.6084790000000115
1.04,0.13877912699999423,-2.647719000000011
1.044,0.12812939099999415,-2.6869590000000105
1.048,0.11732269499999409,-2.72619900000001
1.052,0.10635903899999405,-2.7654390000000095
1.056,0.09523842299999402,-2.804679000000009
1.06,0.083960846999994,-2.8439190000000085
1.064,0.07252631099999395,-2.883159000000008
1.068,0.06093481499999391,-2.9223990000000075
1.072,0.049186358999993886,-2.961639000000007
1.076,0.037280942999993856,-3.0008790000000065
1.08,0.025218566999993836,-3.040119000000006
1.084,0.01299923099999381,-3.0793590000000055
1.088,0.0006229349999937895,-3.118599000000005
1.092,0.006540228900000009,2.1604563000000034
1.096,0.015123194100000023,2.121216300000004
1.1,0.023549199300000042,2.0819763000000044
1.104,0.03181824450000006,2.042736300000005
1.108,0.03993032970000008,2.0034963000000054
1.112,0.0478854549000001,1.964256300000005
1.116,0.055683620100000115,1.9250163000000047
1.12,0.06332482530000014,1.8857763000000043
1.124,0.07080907050000015,1.846536300000004
1.1280000000000001,0.07813635570000019,1.8072963000000035
1.1320000000000001,0.08530668090000018,1.7680563000000031
1.1360000000000001,0.09232004610000019,1.7288163000000027
1.1400000000000001,0.09917645130000022,1.6895763000000024
1.1440000000000001,0.10587589650000022,1.650336300000002
1.1480000000000001,0.11241838170000022,1.6110963000000016
1.1520000000000001,0.11880390690000024,1.5718563000000012
1.156,0.12503247210000024,1.5326163000000008
1.16,0.1311040773000003,1.4933763000000004
1.164,0.13701872250000025,1.4541363
1.168,0.14277640770000022,1.4148962999999997
1.172,0.1483771329000002,1.3756562999999993
1.176,0.15382089810000021,1.336416299999999
1.18,0.15910770330000024,1.2971762999999985
1.184,0.16423754850000027,1.2579362999999981
1.188,0.16921043370000022,1.2186962999999977
1.192,0.17402635890000018,1.1794562999999973
1.196,0.17868532410000015,1.140216299999997
1.2,0.18318732930000015,1.1009762999999966
1.204,0.18753237450000015,1.0617362999999962
1.208,0.19172045970000018,1.0224962999999958
1.212,0.19575158490000016,0.9832562999999956
1.216,0.1996257501000001,0.9440162999999957
1.22,0.20334295530000007,0.9047762999999958
1.224,0.20690320050000005,0.8655362999999958
1.228,0.21030648570000005,0.8262962999999959
1.232,0.21355281090000006,0.7870562999999959
1.236,0.21664217610000008,0.747816299999996
1.24,0.21957458130000004,0.708576299999996
1.244,0.2223500265,0.6693362999999961
1.248,0.22496851169999996,0.6300962999999962
1.252,0.22743003689999994,0.5908562999999962
1.256,0.22973460209999993,0.5516162999999963
1.26,0.23188220729999995,0.5123762999999963
1.264,0.23387285249999998,0.4731362999999964
1.268,0.23570653769999994,0.43389629999999646
1.272,0.2373832628999999,0.3946562999999965
1.276,0.23890302809999986,0.3554162999999966
1.28,0.24026583329999984,0.31617629999999664
1.284,0.24147167849999984,0.2769362999999967
1.288,0.24252056369999986,0.2376962999999967
1.292,0.2434124888999999,0.19845629999999664
1.296,0.24414745409999983,0.1592162999999966
1.3,0.24472545929999978,0.11997629999999655
1.304,0.24514650449999975,0.08073629999999656
1.308,0.24541058969999974,0.04149629999999656
1.312,0.24551771489999974,0.0022562999999965576
1.316,0.24546788009999976,-0.03698370000000344
1.32,0.2452610852999998,-0.07622370000000345
1.324,0.24489733049999973,-0.11546370000000344
1.328,0.2443766156999997,-0.1547037000000035
1.332,0.24369894089999966,-0.19394370000000355
1.336,0.24286430609999965,-0.2331837000000036
1.34,0.24187271129999965,-0.2724237000000036
1.344,0.24072415649999968,-0.31166370000000354
1.348,0.23941864169999968,-0.3509037000000035
1.352,0.23795616689999963,-0.3901437000000034
1.356,0.23633673209999959,-0.42938370000000337
1.36,0.23456033729999956,-0.4686237000000033
1.364,0.23262698249999955,-0.5078637000000032
1.368,0.23053666769999956,-0.5471037000000032
1.372,0.22828939289999958,-0.5863437000000031
1.3760000000000001,0.2258851580999996,-0.6255837000000031
1.3800000000000001,0.22332396329999954,-0.664823700000003
1.3840000000000001,0.2206058084999995,-0.704063700000003
1.3880000000000001,0.21773069369999948,-0.7433037000000029
1.3920000000000001,0.21469861889999947,-0.7825437000000028
1.3960000000000001,0.21150958409999948,-0.8217837000000028
1.4000000000000001,0.2081635892999995,-0.8610237000000027
1.4040000000000001,0.20466063449999952,-0.9002637000000027
1.408,0.20100071969999947,-0.9395037000000026
1.412,0.19718384489999943,-0.9787437000000025
1.416,0.1932100100999994,-1.0179837000000027
1.42,0.1890792152999994,-1.057223700000003
1.424,0.18479146049999942,-1.0964637000000035
1.428,0.18034674569999945,-1.1357037000000039
1.432,0.1757450708999994,-1.1749437000000043
